Data Year,ID,Property Name,Reporting Status,Address,ZIP Code,Chicago Energy Rating,Exempt From Chicago Energy Rating,Community Area,Primary Property Type,Gross Floor Area - Buildings (sq ft),Year Built,# of Buildings,Water Use (kGal),ENERGY STAR Score,Electricity Use (kBtu),Natural Gas Use (kBtu),District Steam Use (kBtu),District Chilled Water Use (kBtu),All Other Fuel Use (kBtu),Site EUI (kBtu/sq ft),Source EUI (kBtu/sq ft),Weather Normalized Site EUI (kBtu/sq ft),Weather Normalized Source EUI (kBtu/sq ft),Total GHG Emissions (Metric Tons CO2e),GHG Intensity (kg CO2e/sq ft),Latitude,Longitude,Location,Row_ID
2022,175891,,Submitted Data,6730   SOUTH SHORE DR,60649,4.0,false,SOUTH SHORE,Multifamily Housing,172500,1962,1,,100,2069532.4,3384519.4,0,0,,36.4,62.3,36.4,62.3,452.4,3,41.7852002,-87.6115702,POINT (-87.6115702 41.7852002),2022-175891
2022,256646,Coeval 1,Not Submitted,51 E 145h Street,,0.0,false,,,184905,,,,,,,,,,,,,,,,41.8640115,-87.6436836,POINT (-87.6436836 41.8640115),2022-256646
2022,251245,3800 N. Lake Shore Drive,Submitted Data,3800 Lake Shore Dr,60613,3.5,false,LAKE VIEW,Multifamily Housing,249095,1927,2,,74,3345590.2,18702028.9,0,0,,88.5,116.4,94.1,121.1,1434,5.8,41.7689831,-87.585814,POINT (-87.585814 41.7689831),2022-251245
2022,121374,8522-Edgewater,Not Submitted,5201 Sheridan Rd,60640,0.0,false,EDGEWATER,,55129,,,,,,,,,,,,,,,,41.772514,-87.569582,POINT (-87.569582 41.772514),2022-121374
2022,161872,Parkside Elementary Academy -CPS,Exempt,6938 S E End Ave,60649,,true,SOUTH SHORE,,75104,,,,,,,,,,,,,,,,41.9767976,-87.6571416,POINT (-87.6571416 41.9767976),2022-161872
2022,251464,Sexton -CPS,Exempt,6020 S Langely Ave,60637,,true,WOODLAWN,,105274,,,,,,,,,,,,,,,,41.9526546,-87.6639467,POINT (-87.6639467 41.9526546),2022-251464
2022,256658,Midpointe Apartments,Submitted Data,4050 West 115th Street,,4.0,false,,Multifamily Housing,393938,1973,8,,75,6388293.5,20841006.3,0,0,,69.1,101,71.9,102.6,1948.4,4.9,41.68404416097816,-87.72196287522412,POINT (-87.72196287522412 41.68404416097816),2022-256658
2022,250062,RJ Quinn Academy,Submitted Data,558 W De Koven St,60607,2.0,false,NEAR WEST SIDE,Adult Education,66285,1961,1,,,2649529.2,3322169.7,0,0,,90.1,164.5,91.9,165.6,525.4,7.9,41.869117307784904,-87.64134962810887,POINT (-87.64134962810887 41.869117307784904),2022-250062
2022,101545,,Submitted Data,849 863 W BUENA AVE,60613,2.0,false,UPTOWN,Multifamily Housing,51163,1925,1,,50,541560.1,4310877.6,0,0,,94.8,118.1,101.2,123.8,300.3,5.9,41.95835278315766,-87.65180597369445,POINT (-87.65180597369445 41.95835278315766),2022-101545
2022,160438,155 North Wacker,Submitted Data,155 N Wacker Dr,60606,4.0,false,LOOP,Office,1484327,2009,1,,75,63482520.5,0,0,29929202.7,,66.4,145.8,64.4,144.9,9938.8,7.1,41.88461561705127,-87.63668235780031,POINT (-87.63668235780031 41.88461561705127),2022-160438
2022,157280,Noble Square Cooperative,Submitted Data,1165 N MILWAUKEE AVE,60642,2.5,false,WEST TOWN,Multifamily Housing,284850,1969,1,,59,5337441.6,22518851.5,0,0,,97.8,135.5,101.6,138.6,1899.1,6.7,41.903005039235026,-87.66570654445466,POINT (-87.66570654445466 41.903005039235026),2022-157280
2022,251446,Randolph Elementary -CPS,Exempt,7316 S Hoyne Ave,60636,,true,WEST ENGLEWOOD,,78450,,,,,,,,,,,,,,,,41.76059741181121,-87.67600175472701,POINT (-87.67600175472701 41.76059741181121),2022-251446
2022,103871,,Submitted Data,111 S PEORIA ST,60607,4.0,false,NEAR WEST SIDE,Multifamily Housing,255100,2017,1,,96,4178418.8,6607850.3,0,0,,47.8,82.5,49.4,82.9,901.3,4,41.88008796259812,-87.64949931059303,POINT (-87.64949931059303 41.88008796259812),2022-103871
2022,256630,The Residences at 8 East Huron,Submitted Data,8 E Huron St,,1.0,false,,Multifamily Housing,196844,2017,1,,15,6025888.9,9583179.9,0,0,,91,157.1,91.8,156.1,1302.7,7.6,41.89499060703644,-87.62782919767419,POINT (-87.62782919767419 41.89499060703644),2022-256630
2022,113752,,Submitted Data,1540  N STATE PKWY,60610,4.0,false,NEAR NORTH SIDE,Multifamily Housing,105500,1970,1,,98,1336010.7,4965839.6,0,0,,59.7,84.9,62.6,86.7,439.7,4.2,41.910727236140296,-87.62901846282452,POINT (-87.62901846282452 41.910727236140296),2022-113752
2022,109191,Edgewater Presbyterian Church,Not Submitted,1020 W BRYN MAWR,60660,0.0,false,EDGEWATER,,62500,,,,,,,,,,,,,,,,41.98380209579369,-87.65613163038387,POINT (-87.65613163038387 41.98380209579369),2022-109191
2022,252303,,Not Submitted,6236-44 S King Dr,60637,0.0,false,WASHINGTON PARK,,50000,,,,,,,,,,,,,,,,41.78095488641807,-87.6157886604307,POINT (-87.6157886604307 41.78095488641807),2022-252303
2022,250145,180 N Wabash Ave,Submitted Data,180 N Wabash Ave,60601,1.0,false,LOOP,Office,162153,1919,1,,27,10711083.6,8663451.7,0,0,,119.5,241.1,121,240.2,1871,11.5,41.885353703982936,-87.62641328540737,POINT (-87.62641328540737 41.885353703982936),2022-250145
2022,251221,211 W Wacker Dr,Submitted Data,211 W Wacker Dr,60606,3.5,false,LOOP,Office,158063,1927,1,,72,5181368,7886636.6,0,0,,82.7,144.2,85.1,144.6,1101.4,7,41.88670787976228,-87.63431854507897,POINT (-87.63431854507897 41.88670787976228),2022-251221
2022,100179,Saint Anthony Hospital - Main Hospital,Submitted Data,2875 W 19th St,60623,0.0,false,SOUTH LAWNDALE,Hospital (General Medical & Surgical),450612,1897,1,,,15191302.2,0,0,0,,,,,,,,41.85540289350027,-87.69870754487314,POINT (-87.69870754487314 41.85540289350027),2022-100179
2022,254049,Farcroft by the Lake,Submitted Data,1337 W Fargo Ave,60626,4.0,false,Rogers Park,Multifamily Housing,115362,1928,1,,79,2708425.8,3944036.5,0,0,,57.7,101.6,58.4,101.1,566.2,4.9,42.0170650891458,-87.66474749058055,POINT (-87.66474749058055 42.0170650891458),2022-254049
2022,236345,The Private Residences at Ontario Place Condominiu,Submitted Data,10 E Ontario St,60611,1.0,false,NEAR NORTH SIDE,Multifamily Housing,690169,1983,1,,11,39802699.9,12723426,0,0,,107,254.2,108.6,257.6,5918.4,12.1,41.89338886697453,-87.62770240071154,POINT (-87.62770240071154 41.89338886697453),2022-236345
